Timestamp,Location,Short Name,What 3 Words,Cleansed W3W,Latitude,Longitude,Who,Survey Date,Survey Start Time,Survey End Time,Minutes at Traffic Lights,Cleansed Minutes at Traffic Lights,Number of lanes,"How long the light you are observing stays red, from start to finish",RED LIGHT CYCLE IN SECS,Red Cycle Seconds Adjusted Min,Red Cycle Seconds Adjusted Median,Red Cycle Seconds Adjusted Max,How many red phases did you observe in your study?,Time in Red Cycle (Secs),"Time in Red Cycle (Secs, Min)","Time in Red Cycle (Secs, Median)","Time in Red Cycle (Secs, Max)",Did you see any drivers go through a red light?,How Many Drivers Jumped,One Red Light Jumped per <n> Minutes,Were there any of the following at the traffic lights you observed?,"What went well about this exercise, if anything?","What can we do to improve on this exercise, if anything?"
2023/09/16 2:16:57 pm CET,Chad Road at Hagley Road,Hagley Road,"https://www.google.com/maps/@52.4715848,-1.9316901,3a,75y,43.84h,72.78t/data=!3m6!1e1!3m4!1sNrmSML5x4q2L5KBeouMmvA!2e0!7i16384!8i8192?entry=ttu",,52.471742,-1.931629,Person 8,Saturday 16 September,12:01,13:01,30,30,3,"1minute, 32 seconds",92,92,92,92,30,2760,2760,2760,2760,Yes,9,5.1,"Pedestrian light signals (i.e. the ""green person"")",,
2023/09/16 5:46:12 pm CET,"A435 looking southbound, crossroads with/corner of Brighton Road, near Damascena Souk/opposite Lidl, traffic turning left into Brighton Road, continuing straight on A435 or turning right on to Cromer Road.",Brighton Cromer Roads,worth.cargo.fine,worth.cargo.fine,52.455274,-1.886346,Person 9,Saturday 16 September,14:30,15:30,60,60,2,55 seconds,55,55,55,55,43,2365,2365,2365,2365,Yes,14,2.8,"Pedestrian light signals (i.e. the ""green person"")","Instructions were clear, surveying was straightforward, it was an interesting exercise to do. I've never stood at a crossroads for an hour before and just watched! Nobody approached me or asked what I was doing. It didn't rain! I was pleasantly surprised that the vast majority of drivers did heed the red light. 14 is obviously 14 too many, but I think I expected it would be significantly higher.","I didn't feel like I was monitoring the greatest threat of harm to pedestrians at the junction. During the hour I witnessed (but obviously didn't attempt to count/record) amongst other horrors: aggressive driving, unnecessary car horn use, mobile phone use, drug driving (NO2), speeding, loads of 'amber gambling' (accelerating towards lights and narrowly clearing the white line on the amber phase, when braking and stopping would be appropriate and safe). But the biggest danger of all was cars coming from the other three directions - travelling northbound (i.e. on A453 towards city centre) driving through the pedestrian green person phase at the set of lights I was monitoring. This was probably a mixture of red light running, and congestion meaning vehicles were 'stranded' in the middle of the crossroads when the lights changed but then instead of waiting for the lights to change again, drivers routinely proceeded to drive through the green person phase on the pedestrian crossing. On one cycle 5 vehicles went through the same green person! I witnessed a number of pedestrians attempting to cross including those that gestured to drivers e.g. by pointing at the green man or holding up their palm. I would guess at least 30 vehicles drove through the green phase, but none of them are captured by my results above. Perhaps a team of 3 or 4 people monitoring for different offences during the same hour period?"
2023/09/17 6:11:09 pm CET,"Bromford Lane at the junction with Tyburn Road, southbound traffic. ",Bromford Lane,Serves.forum.adults,Serves.forum.adults,52.511252,-1.833976,Person 10,Saturday 16 September,16:24,17:24,60,60,4,29 seconds ,29,29,29,29,56,1624,1624,1624,1624,Yes,4,6.8,Pedestrian demand buttons,It was simple enough to do ,Make the instructions less verbose. I would also like to add that the green light next to the right hand lane is not working. 
2023/09/17 8:28:01 pm CET,Chad Road at Hagley Road,Hagley Road,"https://www.google.com/maps/@52.4715035,-1.9317528,3a,75y,28.31h,90.45t/data=!3m6!1e1!3m4!1szwO9TdEEFj-6rjPANMui9A!2e0!7i16384!8i8192?entry=ttu",,52.471742,-1.931629,Person 8,Sunday 17 September,12:01,13:01,60,60,3,01:08,68,68,68,68,39,2652,2652,2652,2652,Yes,7,6.3,"Pedestrian light signals (i.e. the ""green person"")",,
2023/09/17 10:11:00 pm CET,Belgrave Middleway NCN5 crossing into Highgate. Westbound traffic on ring road heading towards five ways ,Belgrave Middleway am,flank.shades.enjoy,flank.shades.enjoy,52.464492,-1.891671,Person 11,Friday 15 September,08:00,09:00,60,60,3,Didn't do! Sorry can try and do if definitely needed?.,0,12,33,120,45,0,540,1485,5400,Yes,34,0.0,Several pedestrian crossings with demand buttons and green person signals. ,"It worked! Not perfect, more people for big junctions means easier and all red jumping caught, doing some on my own means my audit will have missed some. ","The time of day impacts volume of traffic and therefore how many offences there are, so wonder if all audits should be done at same time of day, also Friday versus weekend driving may be very different e.g. Friday people in a rush to get home maybe. Also the size and complexity of junction impacts on how many people required to count and also how boring it is or not. "
2023/09/17 10:16:57 pm CET,Belgrave Middleway NCN5 crossing with Longmore At and Horton Square into Highgate. Eastbound traffic on ring road heading towards Central Mosque or Sparkbrook ,Belgrave Middleway am,boss.deed.host,boss.deed.host,52.464869,-1.892202,Person 11,Friday 15 September,08:00,09:00,60,60,3,Didn't do sorry,0,12,33,120,45,0,540,1485,5400,Yes,22,0.0,All above,,"I was watching this movement from other side of road so sight of line on road wasn't clear so I may have missed some, if wasn't sure I didn't say was a red light jump"
2023/09/17 10:42:16 pm CET,"Belgrave Middleway Longmore St, turning left off Longmore onto ringroad Belgrave Middleway towards Five Ways",Belgrave Middleway am,buns.dish.game,buns.dish.game,52.464492,-1.892335,Person 11,Friday 15 September,08:00,09:00,60,60,1,Didn't do,0,12,33,120,45,0,540,1485,5400,Yes,5,0.0,Both above,,
2023/09/17 10:47:39 pm CET,Belgrave Middleway junction with Horton Square and Longmore Street drivers west turning left off ringroad into Longmore Road,Belgrave Middleway am,life.shrimp.privately,life.shrimp.privately,52.464519,-1.891848,Person 11,Friday 15 September,08:00,09:00,60,60,1,Didn't do ,0,12,33,120,45,0,540,1485,5400,Yes,2,0.0,Both above,,
2023/09/18 7:38:57 am CET,A45 - westbound heading out of Birmingham. At main junction with Sheaf Lane and Hobs Moat Road,A45 Westbound,spoken.spell.given,spoken.spell.given,52.451932,-1.782533,Person 12,Saturday 16 September,16:06,17:06,60,60,3,47 seconds,47,47,47,47,46,2162,2162,2162,2162,Yes,15,2.4,Subway,It was very safe as we were behind railings. Drivers are unlikely to have noticed us. Which meant we could film as well. I recorded a few of the red light jumpers. ,Didnâ€™t quite understand one of the above questions / descriptions. 
2023/09/18 8:58:23 am CET,"Bordesley Green East near Stechford police station, traffic travelling east.",Bordesley Green,then.plenty.vague,THAN.PLENTY.VAGUE,52.47789246,-1.807685995,Person 13,Friday 15 September,17:21,18:21,60,60,3,30',30,30,30,30,53,1590,1590,1590,1590,Yes,21,1.3,Pedestrian demand buttons,Clear instructions. Good team-working with the 3 other volunteers. ,
2023/09/18 9:03:09 am CET,"Bromford Lane junction with Tyburn Rd, traffic travelling north.",Bromford Lane,rushed.lived.washed,rushed.lived.washed,52.510524,-1.834065,Group 1,Saturday 16 September,16:25,17:25,60,60,1,30secs,30,30,30,30,45,1350,1350,1350,1350,Yes,7,3.2,Pedestrian demand buttons,,
2023/09/18 9:06:30 am CET,"Bromford Lane junction with Tyburn Rd, traffic travelling north. (This is the main carriageway, the other is the left turn filter lane.)",Bromford Lane,dusty.vocab.joined,dusty.vocab.joined,52.510686,-1.834065,Group 1,Saturday 16 September,16:25,17:25,60,60,4,30secs,30,30,30,30,45,1350,1350,1350,1350,Yes,5,4.5,Pedestrian demand buttons,,
2023/09/18 9:16:11 am CET,"Tyburn Rd junction with Bromford Lane, traffic travelling towards Salford Junction, left turn filter onto Bromford Lane travelling south.",Bromford Lane,softly.booth.square,softly.booth.square,52.511037,-1.833754,Person 14,Saturday 16 September,16:41,17:29,48,48,3,37secs,37,37,37,37,45,1665,1665,1665,1665,Yes,3,9.3,No infrastructure to help pedestrians cross on this side.,,"Working with this group of volunteers was like herding cats! It would have been helpful to have some instructions that said something about how to manage working as a group on a crossroads. Also, being an organiser but not being a local, I hadn't realised that there were, in fact, more than 4 lights to watch. Where I was stationed, there were 3 traffic lights for traffic going in one direction (one left filter, one single lane going straight ahead, and one for the remaining two lanes). If I had know that I would have recruited 5 people for this junction, at least (each of the others carriageways also had filter lanes)."
2023/09/18 12:57:01 pm CET,Junction of Wake Green Rd and Yardley Wood Rd - on YWR and heading towards sparkhill,Wake Green Road,,,52.443017,-1.87126,Humera,Monday 18 September,09:11,09:45,34,34,2,45.3 seconds ,45,45,45,45,27,1215,1215,1215,1215,Yes,24,0.8,,,"Clearer instructions - if someone stops at red, but then starts moving again before the light turns green"
2023/09/18 4:49:10 pm CET,A45 Hay Mills..Coventry Rd/Berkeley Rd outbound,A45 Berkeley Road,Recent accident scene,,52.463397,-1.833186,Person 15,Friday 15 September,10:50,11:50,60,60,3,15 seconds,15,15,15,15,9,135,135,135,135,Yes,1,2.3,"Pedestrian light signals (i.e. the ""green person"")",Good to see  low number of red light jumpers,We should have recorded the set of lights immediately before it...as had more red light phases
2023/09/18 8:05:19 pm CET,A45 Coventry Rd/Redhill Rd HayMills inbound,A45 Redhill Road,Outside Redhill School,,52.463149,-1.832237,Person 15,Friday 15 September,10:45,11:45,70,70,3,14 seconds Red n amber is 23 seconds,14,14,14,14,60,840,840,840,840,Yes,69,0.2,Pedestrian demand buttons,No one noticed me. ,
2023/09/18 8:24:56 pm CET,"Pershore & Edgbaston facing north, traffic going straight (north)",Pershore Edgbaston,Kicked.intro.trade,Kicked.intro.trade,52.455301,-1.907223,Person 16,Monday 18 September,11:40,12:40,60,60,1,60 seconds,60,60,60,60,31,1860,1860,1860,1860,Yes,7,4.4,"Pedestrian light signals (i.e. the ""green person"")",It was a pretty straightforward process.,
2023/09/18 8:26:56 pm CET,"Pershore & Edgbaston facing north, right turn light",Pershore Edgbaston,Kicked.intro.trade,Kicked.intro.trade,52.455301,-1.907223,Person 16,Monday 18 September,11:40,12:40,60,60,1,60 seconds,60,60,60,60,31,1860,1860,1860,1860,Yes,1,31.0,"Pedestrian light signals (i.e. the ""green person"")",Pretty straightforward,
2023/09/18 8:27:32 pm CET,"Boldmere Road junction with the Chester Rd, traffic going south.",Chester Road,snack.vouch.expert,snack.vouch.expert,52.536721,-1.835749,Person 17,Monday 18 September,17:03,18:03,60,60,2,55secs,55,55,55,55,44,2420,2420,2420,2420,Yes,4,10.1,Dotted lines to demarcate where pedestrians should cross.,,
2023/09/18 8:30:59 pm CET,"Chester Road/ Gravelly Lane junction, traffic travelling west.",Chester Road,added.quick.engine,added.quick.engine,52.536505,-1.835793,Person 18,Monday 18 September,17:05,18:04,60,60,2,33secs,33,33,33,33,42,1386,1386,1386,1386,Yes,10,2.3,Dotted lines to demarcate where pedestrians should cross.,Good group of volunteers. Minister at the Baptist church allowed car parking.,
2023/09/18 8:35:27 pm CET,"Chester Rd junction with Boldmere Road, traffic travelling west.",Chester Road,span.river.chains,span.river.chains,52.536802,-1.836104,Person 19,Monday 18 September,17:06,18:05,60,60,3,33secs,33,33,33,33,45,1485,1485,1485,1485,Yes,7,3.5,Dotted lines to demarcate where pedestrians should cross.,,"Do it in the summer, please."
2023/09/18 8:38:42 pm CET,"Gravelly Lane junction with the Chester Rd, traffic traveling north.",Chester Road,films.hits.expand,films.hits.expand,52.536586,-1.836192,Person 20,Monday 18 September,17:00,18:00,60,60,3,55secs,55,55,55,55,50,2750,2750,2750,2750,Yes,7,6.5,Dotted lines to demarcate where pedestrians should cross.,"Data collected by local volunteer, Gillian.",
2023/09/18 9:02:24 pm CET,Lawley Middleway on ring road junction with Jennens Road and Nechells Parkway heading north west ,Lawley Middleway,cool.sweep.agrees,cool.sweep.agrees,52.486026,-1.882815,Person 11,Friday 15 September,09:55,10:55,60,60,4,Didn't capture can try and get if needed,,12,33,120,24,0,288,792,2880,Yes,12,0.0,Both above ,Simple just watching one direction of traffic ,"Air Quality in this location was awful, had layer of dust on my bike and phone after an hour! "
2023/09/18 9:06:29 pm CET,Lawley Middleway and Nechells Parkway junction heading south,Lawley Middleway,voices.winter.valve,voices.winter.valve,52.48643,-1.88286,Person 11,Friday 15 September,11:05,12:05,60,60,3,Didn't do can try and get if needed ,,12,33,120,23,0,276,759,2760,Yes,7,0.0,Both above ,Simple watching one direction of traffic ,Just NB from about 11.30-11.40 traffic was queuing ahead so was difficult for drivers to go through on red. 
2023/09/18 9:13:41 pm CET,Belgrave Middleway and Longmore Street and Horton Square junction stood on north west top left side of junction. Heading north away from 5ways,Belgrave Middleway pm,asleep.cope.score,asleep.cope.score,52.464842,-1.892158,Person 11,Friday 15 September,14:54,15:54,60,60,3,Didn't do sorry can go back to get if needed ,,12,33,120,45,0,540,1485,5400,Yes,29,0.0,Both above ,"A repeat of my 8am observations but stood in opposite corner of junction. Good to see both am and pm school run times as so many pedestrians, but worrying as well as so many offences at a time with lots of pedestrian movements ",From this position I could only observe 2 movements at once whereas in morning stood in opposite corner I could observe 4 movements 
2023/09/18 9:16:20 pm CET,Belgrave Middleway and Longmore Street and Horton Square junction stood on north west top left side of junction. Heading north west towards 5ways,Belgrave Middleway pm,flames.mason.olive,flames.mason.olive,52.464653,-1.89207,Person 11,Friday 15 September,14:54,15:54,60,60,3,Didn't do sorry can get if needed ,,12,33,120,45,0,540,1485,5400,Yes,15,0.0,Both the above ,,
2023/09/18 9:21:21 pm CET,Junction of Edgbaston Park Road and Bristol Road. Traffic turning left or right from Edgbaston Park Road onto Bristol Road,Edgbaston Park Road,Arrive.boxing.stages,Arrive.boxing.stages,52.447809,-1.925491,Person 21,Monday 18 September,17:45,18:18,33,33,2,1 minute 23.5 secs,83,83,83,83,18,1494,1494,1494,1494,Yes,3,8.3,"Pedestrian light signals (i.e. the ""green person"")",,
2023/09/18 9:24:11 pm CET,Heading south towards Selly Oak on junction of A38 Bristol Road and Priory Road,Bristol Priory Roads,flies.method.lofts,flies.method.lofts,52.455759,-1.910142,Person 11,Friday 15 September,16:28,17:28,60,60,2,Didn't do but Humera got and is 63seconds. Thanks Humera!,63,63,63,63,39,2457,2457,2457,2457,Yes,10,4.1,Both. Wait time for pedestrians and cyclists takes ages though and is two stages and the prior road cycle lane and A38 cycle lane aren't connected so saw several cyclists taking various routes to cross ,Had two Sustrans colleagues helping Cat and Laura so I observed two directions and they observed one each ,
2023/09/18 9:27:37 pm CET,Bristol Road A38 and Priory Road junction Heading north towards town on Bristol Road ,Bristol Priory Roads,lived.dose.tigers,lived.dose.tigers,52.455706,-1.910231,Person 11,Friday 15 September,16:28,17:28,60,60,2,63seconds,63,63,63,63,39,2457,2457,2457,2457,Yes,7,5.9,Both,,
2023/09/18 9:30:25 pm CET,Bristol Road A38 and Priory Road junction Heading west on Priory Road ,Bristol Priory Roads,bowls.voters.played,bowls.voters.played,52.455706,-1.910098,Person 11,Friday 15 September,16:28,15:28,60,60,3,63seconds,63,63,63,63,39,2457,2457,2457,2457,Yes,11,3.7,Both,,
2023/09/18 9:33:05 pm CET,Bristol Road A38 and Priory Road junction Heading east on Priory Road ,Bristol Priory Roads,resist.scam.puddles,resist.scam.puddles,52.455786,-1.910231,Person 11,Friday 15 September,16:28,17:28,60,60,3,63seconds for northbound red but west and east across may have been different? ,0,12,33,120,40,0,480,1320,4800,Yes,8,0.0,Both,,
2023/09/18 9:41:15 pm CET,Opposite the University Sports and Fitness centre. Looking at the lights with traffic heading south west and turning right up edgbaston park road,Edgbaston Park Road,Toast.roofs.cases,Toast.roofs.cases,52.447566,-1.925314,Person 22,Monday 18 September,17:47,18:27,30,30,3,33 seconds,33,33,33,33,32,1056,1056,1056,1056,Yes,4,4.4,Demand & signals,Understood the phases. That bit is perfectly timed that when running the different boxes fill and empty and shouldnâ€™t cause chaos(obviously not always true),Announcements channel maybe
2023/09/18 11:13:33 pm CET,Yardley Wood Road southbound/Wake Green Road ,Wake Green Road,Locked.export.bubble,Locked.export.bubble,52.4432,-1.870953,Person 23,Monday 18 September,09:20,10:05,45,45,3,43 seconds ,43,43,43,43,62,2666,2666,2666,2666,Yes,4,11.1,,,
2023/09/19 6:17:21 pm CET,"A45 coventry rd, junction off steyning rd",A45 Steyning Road,,,52.460781,-1.804038,Person 24,Saturday 16 September,13:00,13:30,30,30,2,20,20,20,20,20,18,360,360,360,360,Yes,18,0.3,Pedestrian demand buttons,,
2023/09/19 6:37:46 pm CET,Junction of Hagley road and monument road - Hagley road western arm towards town,Hagley Road,///mouse.gold.birds,mouse.gold.birds,52.47193,-1.931611,Person 25,Saturday 16 September;Sunday 17 September,12:00,13:00,60,60,4,48 seconds,48,48,48,48,30,1440,1440,1440,1440,Yes,36,0.7,"Pedestrian light signals (i.e. the ""green person"")","Reliably captured infractions, despite low traffic volumes","Try to capture busier times of day when violations are more common, and more dangerous "
2023/09/19 10:38:39 pm CET,"Pershore Rd/Edgbaston Rd southbound traffic - turning straight ahead, left and right  ",Pershore Edgbaston,https://what3words.com/wink.noon.parade,wink.noon.parade,52.455409,-1.906869,Person 26,Monday 18 September,16:00,17:00,60,60,2,2mins ,120,120,120,120,24,2880,2880,2880,2880,Yes,6,8.0,,I managed to video some red light jumpers! ,"I wasnâ€™t sure what to do about vehicles which entered the box junction to turn right on green but exited during the red phase  - are they red light jumpers? "
